equipo;posicion;valor_mercado;aforo
Athletic Club;8;22605;53289
Atletico de Madrid;3;6618;68456
CA Osasuna;10;10845;23576
Cadiz CF;17;678;21094
Elche CF;13;7298;33732
FC Barcelona;2;7371;99354
Getafe CF;15;20868;16800
Girona FC;20;3805;11286
Rayo Vallecano;12;672;15105
RC Celta de Vigo;11;120;29000
RCD Espanyol;14;1316;40500
RCD Mallorca;16;7415;20500
Real Betis Balompie;5;259;59378
Real Madrid CF;1;77075;81044
Real Sociedad;6;37695;39500
Real Valladolid CF;19;6665;27618
Sevilla FC;4;385;43883
UD Almeria;18;6375;15274
Valencia CF;9;3106;48600
Villarreal CF;7;4089;23500
