k;dia;finde;mes;fecha
1;martes;0;8;16
2;miercoles;0;8;17
3;viernes;1;8;19
4;sabado;1;8;20
5;domingo;1;8;21
6;martes;0;8;23
7;miercoles;0;8;24
8;viernes;1;8;26
9;sabado;1;8;27
10;domingo;1;8;28
11;martes;0;8;30
12;miercoles;0;8;31
13;viernes;1;9;2
14;sabado;1;9;3
15;domingo;1;9;4
16;viernes;1;9;9
17;sabado;1;9;10
18;domingo;1;9;11
19;viernes;1;9;16
20;sabado;1;9;17
21;domingo;1;9;18
22;martes;0;9;20
23;miercoles;0;9;21
24;viernes;1;9;23
25;sabado;1;9;24
26;domingo;1;9;25
27;martes;0;9;27
28;miercoles;0;9;28
29;viernes;1;9;30
30;sabado;1;10;1
31;domingo;1;10;2
32;viernes;1;10;7
33;sabado;1;10;8
34;domingo;1;10;9
35;viernes;1;10;14
36;sabado;1;10;15
37;domingo;1;10;16
38;martes;0;10;18
39;miercoles;0;10;19
40;viernes;1;10;21
41;sabado;1;10;22
42;domingo;1;10;23
43;viernes;1;10;28
44;sabado;1;10;29
45;domingo;1;10;30
46;viernes;1;11;4
47;sabado;1;11;5
48;domingo;1;11;6
49;martes;0;11;8
50;miercoles;0;11;9
51;martes;0;12;20
52;miercoles;0;12;21
53;martes;0;12;27
54;miercoles;0;12;28
55;martes;0;1;3
56;miercoles;0;1;4
57;viernes;1;1;6
58;sabado;1;1;7
59;domingo;1;1;8
60;martes;0;1;10
61;miercoles;0;1;11
62;viernes;1;1;13
63;sabado;1;1;14
64;domingo;1;1;15
65;martes;0;1;17
66;miercoles;0;1;18
67;viernes;1;1;20
68;sabado;1;1;21
69;domingo;1;1;22
70;martes;0;1;24
71;miercoles;0;1;25
72;viernes;1;1;27
73;sabado;1;1;28
74;domingo;1;1;29
75;martes;0;1;31
76;miercoles;0;2;1
77;viernes;1;2;3
78;sabado;1;2;4
79;domingo;1;2;5
80;martes;0;2;7
81;miercoles;0;2;8
82;viernes;1;2;10
83;sabado;1;2;11
84;domingo;1;2;12
85;viernes;1;2;17
86;sabado;1;2;18
87;domingo;1;2;19
88;viernes;1;2;24
89;sabado;1;2;25
90;domingo;1;2;26
91;martes;0;2;28
92;miercoles;0;3;1
93;viernes;1;3;3
94;sabado;1;3;4
95;domingo;1;3;5
96;viernes;1;3;10
97;sabado;1;3;11
98;domingo;1;3;12
99;viernes;1;3;17
100;sabado;1;3;18
101;domingo;1;3;19
102;martes;0;3;21
103;miercoles;0;3;22
104;viernes;1;3;24
105;sabado;1;3;25
106;domingo;1;3;26
107;martes;0;3;28
108;miercoles;0;3;29
109;viernes;1;3;31
110;sabado;1;4;1
111;domingo;1;4;2
112;martes;0;4;4
113;miercoles;0;4;5
114;viernes;1;4;14
115;sabado;1;4;15
116;domingo;1;4;16
117;viernes;1;4;21
118;sabado;1;4;22
119;domingo;1;4;23
120;martes;0;4;25
121;miercoles;0;4;26
122;viernes;1;4;28
123;sabado;1;4;29
124;domingo;1;4;30
125;martes;0;5;2
126;miercoles;0;5;3
127;viernes;1;5;5
128;sabado;1;5;6
129;domingo;1;5;7
130;viernes;1;5;12
131;sabado;1;5;13
132;domingo;1;5;14
133;viernes;1;5;19
134;sabado;1;5;20
135;domingo;1;5;21
136;martes;0;5;23
137;miercoles;0;5;24
138;viernes;1;5;26
139;sabado;1;5;27
140;domingo;1;5;28
141;viernes;1;6;2
142;sabado;1;6;3
143;domingo;1;6;4
144;martes;0;6;6
145;miercoles;0;6;7
